Date,Open,High,Low,Close,Volume
2017-10-03,721.6107937555138,726.519710719837,688.9174187577818,694.6608276367188,35367877.0
2017-10-04,697.2135012408932,697.8025473079911,686.2665924281192,690.8319091796875,3613280.0
2017-10-05,691.7154160650795,691.7154160650795,673.6015020897626,681.8975830078125,2680742.0
2017-10-06,681.2595583308672,689.211980287944,676.4487954677969,684.0576171875,1416485.0
2017-10-09,681.4558720099664,689.7028769996406,681.4558720099664,685.9230346679688,951473.0
2017-10-10,685.6283855373413,688.4265040675284,682.8794041137983,687.2483520507812,555002.0
2017-10-11,687.2484478456864,690.1937983364537,673.5034788887727,677.3324584960938,1077409.0
2017-10-12,678.5104517649677,681.3576474599852,672.5215972767866,675.1724243164062,439314.0
2017-10-13,676.3996488179646,682.3885032646156,667.6126758787243,677.135986328125,1344510.0
2017-10-16,673.5034472431619,676.8906121330548,656.8131285797016,657.89306640625,971834.0
2017-10-17,658.2857101466177,661.7219517357499,656.8130351798468,660.7892456054688,664335.0
2017-10-18,658.7766117015458,660.5928868852037,652.051419888219,656.2239990234375,415712.0
2017-10-19,653.9658904306548,665.8945825578496,653.9658904306548,662.8019409179688,93358.0
2017-10-23,657.7949504728758,661.5257158192541,652.8860329320335,653.6714477539062,292330.0
2017-10-24,651.7078149803671,659.2184820293548,650.9224002377424,653.720458984375,350373.0
2017-10-25,654.8493989690991,661.1819126379413,646.1115044588155,657.6965942382812,583868.0
2017-10-26,657.696696658501,657.696696658501,648.4679091076337,654.7022094726562,242175.0
2017-10-27,651.1187462655962,653.9168049149437,646.9952441060566,650.136962890625,396395.0
2017-10-30,652.8859490547471,652.8859490547471,638.061043955306,643.068115234375,1164020.0
2017-10-31,643.8535944179366,656.8131483429983,643.8535944179366,650.038818359375,1402840.0
2017-11-01,651.9041801324313,652.7386720563518,630.5503910994789,635.262939453125,859011.0
2017-11-02,635.2629777067357,641.6936474042915,629.5195684178951,631.0413208007812,574130.0
2017-11-03,631.3357686960903,641.5954166470265,629.4212791866229,630.5503540039062,672547.0
2017-11-06,630.943132763291,647.8788965953862,630.943132763291,644.7862548828125,483071.0
2017-11-07,646.9952775786084,646.9952775786084,627.8995779628337,630.6485595703125,763293.0
2017-11-08,637.1773524579407,637.1773524579407,617.5416867427499,620.0942993164062,843603.0
2017-11-09,621.4689080639597,658.1876321305834,621.4689080639597,645.9644165039062,356798.0
2017-11-10,643.1662596973358,666.8272747939916,643.1662596973358,664.2255249023438,784443.0
2017-11-13,652.885986328125,668.3981526652449,650.9224194519502,652.885986328125,192279.0
2017-11-14,643.2645629878579,655.5859339627352,642.0864107998934,647.9771118164062,350594.0
2017-11-15,638.2573336082603,648.0260899520912,632.6612164366219,637.52099609375,269314.0
2017-11-16,636.7847297516239,647.1916704071839,631.0903976542911,638.0610961914062,261879.0
2017-11-17,641.1046085499933,651.6097037069135,633.3484951357315,647.5352783203125,3200674.0
2017-11-20,645.3262097311577,652.8859538125956,644.5407950044647,649.400634765625,712433.0
2017-11-21,647.9770945703527,683.7140370887075,647.9770945703527,674.9270629882812,2077453.0
2017-11-22,676.4487682460461,686.2175251422426,668.7417924610404,680.523193359375,669175.0
2017-11-23,676.4487884983859,676.4487884983859,651.9042025586766,654.1622924804688,827451.0
2017-11-24,655.8313568039583,658.2367382858799,643.0681717164562,643.7554321289062,599114.0
2017-11-27,643.6080843702141,650.627859523941,639.9754738705464,641.7918090820312,239417.0
2017-11-28,641.1044502095763,654.8003382745161,640.1226669780149,641.5462646484375,269211.0
2017-11-29,642.1354185833858,646.4062123127227,638.9446225443274,644.2462768554688,258606.0
2017-11-30,653.818665255964,653.818665255964,641.9390501975709,642.969970703125,316178.0
2017-12-01,646.0135034811161,646.0135034811161,640.368248701456,643.9517822265625,86648.0
2017-12-04,647.9770694123064,653.6714013709656,641.153662530046,649.6951904296875,162592.0
2017-12-05,647.9770738943062,650.0879322710115,641.644558687496,647.0934448242188,125688.0
2017-12-06,642.135488127808,647.9771119550953,642.135488127808,644.1481323242188,210799.0
2017-12-07,643.1662328498796,657.794828375612,639.1409451828708,656.2239990234375,279051.0
2017-12-08,651.9532285797472,677.3323644036018,651.9532285797472,673.2088623046875,480717.0
2017-12-11,667.6126140468692,670.3125180007352,658.8256419214464,662.458251953125,122163.0
2017-12-12,658.8257024101665,669.5762420345305,658.7766252275219,663.734619140625,121938.0
2017-12-13,658.8258281423552,669.576369818383,645.0317814819321,663.0474853515625,260250.0
2017-12-14,662.8019789335056,670.5580921087712,661.0347807193442,667.5145874023438,444539.0
2017-12-15,668.1036322473268,678.4123583878072,665.6491736424506,676.4487915039062,351667.0
2017-12-18,669.0362878182312,681.3576570966296,652.8859394369722,679.5413818359375,259324.0
2017-12-19,675.5651753910379,687.150268166847,675.5651753910379,684.5975952148438,343970.0
2017-12-20,679.5413398133499,690.9300022036217,679.5413398133499,684.4502563476562,531872.0
