Date,Open,High,Low,Close,Volume
2002-12-23,4.754753811269612,5.632119269657524,4.737772587300533,5.507590293884277,88361782.0
2002-12-24,5.592496896816615,5.886838692702643,5.547213073991026,5.615138530731201,78481868.0
2002-12-25,5.615138530731201,5.615138530731201,5.615138530731201,5.615138530731201,0.0
2002-12-26,5.660421850365936,5.745328533319137,5.52457149063867,5.5528740882873535,20912126.0
2002-12-27,5.711365926647956,5.841555886951511,5.54721351278603,5.700045108795166,29479745.0
2002-12-30,5.660421850365936,5.660421850365936,5.513250673577767,5.5528740882873535,10686967.0
2002-12-31,5.541553421224179,5.711365681734177,5.524571640176739,5.620798587799072,13516316.0
2003-01-01,5.660422232031683,5.694385240500845,5.558534316617123,5.609477996826172,9902506.0
2003-01-02,5.632120728047115,5.6830649681422996,5.518912538938959,5.547214031219482,8362077.0
2003-01-03,5.603818416595459,5.660422508481113,5.552874733898371,5.603818416595459,12472503.0
2003-01-06,5.62079812571729,5.626459088932012,5.230229958652621,5.252871036529541,10478599.0
2003-01-07,5.258531346028222,5.3943816957141495,5.105700327002484,5.337777614593506,15550445.0
2003-01-08,5.343438376909389,5.445326284676837,5.33777796842211,5.371739864349365,7512213.0
2003-01-09,5.377401605259082,5.881179143452316,5.36608078664784,5.807593822479248,37626319.0
2003-01-10,5.88117941989952,6.175521272623948,5.717027542320497,5.93212366104126,44627102.0
2003-01-13,5.988726505272495,6.1585398826669575,5.90948078048511,6.073633193969727,17900143.0
2003-01-14,6.130237703948756,6.215143843478393,6.000047735006814,6.135898113250732,18615140.0
2003-01-15,6.1925024419594035,6.311371031171604,6.124576978841674,6.254766941070557,20697379.0
2003-01-16,6.2377859221536065,6.384957129417236,6.2377859221536065,6.311371803283691,18711731.0
2003-01-17,6.339672035705725,6.384955300354321,6.20948209484463,6.294388771057129,12691321.0
2003-01-20,6.311370655942675,6.713260226763111,6.311370655942675,6.65099573135376,41257166.0
2003-01-21,6.849110580992098,7.777419822233754,6.701939400674601,7.681192874908447,91934868.0
2003-01-22,7.811382190064652,8.22459309887894,7.466096179686776,7.652890205383301,91442340.0
2003-01-23,7.6415699296110775,8.156668222522699,7.483077933716566,7.896288871765137,80647678.0
2003-01-24,7.896289350908631,8.003837120901139,7.2906239285930114,7.39251184463501,40825774.0
2003-01-27,7.5283612204887715,7.5283612204887715,6.820809033371571,6.956658840179443,31445396.0
2003-01-28,7.018923055443523,7.392511119280198,6.922696112786772,7.313264846801758,34208061.0
2003-01-29,7.415152298022354,7.6698712150158475,7.313264398227131,7.403831481933594,37021583.0
2003-01-30,7.466097461677708,7.528361962602418,7.205718084632438,7.251001358032227,18006481.0
2003-01-31,7.245338783553658,7.2679804134869945,6.962317299394308,7.047224521636963,24095743.0
2003-02-03,7.132130317882217,7.3925096055752295,7.092506912258158,7.352886199951172,20490183.0
2003-02-04,7.449113840107951,7.998175614513143,7.449113840107951,7.669870853424072,81165271.0
2003-02-05,7.698174336010055,7.8340247031440455,7.517040698163552,7.601946830749512,34453914.0
2003-02-06,7.584965260133335,7.834023774526075,7.392510827421583,7.783080101013184,49319379.0
2003-02-07,7.851004596206332,7.851004596206332,7.528360769374653,7.567983627319336,27902566.0
2003-02-10,7.58496695592562,7.58496695592562,7.171755957278885,7.2226996421813965,21335467.0
2003-02-11,7.245339715167078,7.34156665475672,7.007602015302159,7.041564464569092,26627710.0
2003-02-12,7.018923081901686,7.222698339762885,6.83778945769213,7.05288553237915,28056902.0
2003-02-13,7.05288553237915,7.05288553237915,7.05288553237915,7.05288553237915,0.0
2003-02-14,7.1038298022939586,7.1038298022939586,6.6226939369591955,6.662316799163818,31379365.0
2003-02-17,6.87175269892633,7.324585942491683,6.7925064234303365,7.23967981338501,35498422.0
2003-02-18,7.471756378466158,7.539681274998722,7.341566438449032,7.403831481933594,38619812.0
2003-02-19,7.449115749930776,7.692514456760159,7.426474668012255,7.607608318328857,41428285.0
2003-02-20,7.630247971369991,7.913268914218361,7.488737222447632,7.647229194641113,68782857.0
2003-02-21,7.81138381367435,7.81138381367435,7.539683053462445,7.6132683753967285,31432873.0
2003-02-24,7.698174358607693,8.009497955662999,7.652891087762254,7.890628814697266,61026734.0
2003-02-25,7.924590167402971,7.924590167402971,7.4321340758570225,7.471756935119629,29137172.0
2003-02-26,7.517038946634701,7.573643576832474,7.143451495308819,7.1774139404296875,43364758.0
2003-02-27,7.177414483056951,7.500058291094063,7.052884953202751,7.3981709480285645,39176191.0
2003-02-28,7.58496752682398,7.6132690211257,7.0019436462898526,7.069868564605713,60068835.0
2003-03-03,7.2793052477524425,7.630251815488414,7.2793052477524425,7.42647647857666,39034964.0
2003-03-04,7.460435968210288,7.460435968210288,7.194396220656,7.26798152923584,19078546.0
2003-03-05,7.222698312536581,7.3811903024970515,7.007602238660375,7.313264846801758,25124849.0
2003-03-06,7.358548617868972,7.471756784914879,7.166094178894523,7.26798152923584,42763383.0
2003-03-07,7.12081073452166,7.154773183788592,6.979299974246382,7.041564464569092,17605655.0
2003-03-10,7.047224485793156,7.177413857247668,6.741561373255142,6.803825855255127,15774908.0
2003-03-11,6.583069593172651,6.962317458202901,6.583069593172651,6.922695159912109,26565638.0
2003-03-12,6.950998025441615,7.188735747443661,6.911375164274014,6.984961032867432,30878093.0
2003-03-13,7.007602661875794,7.188735741345454,6.967979800741806,7.092508792877197,28352418.0
2003-03-14,7.092508792877197,7.092508792877197,7.092508792877197,7.092508792877197,0.0
2003-03-17,6.922696238996685,7.109490274320525,6.8434499650734795,6.928356647491455,13189818.0
2003-03-18,6.928356647491455,6.928356647491455,6.928356647491455,6.928356647491455,0.0
2003-03-19,7.0868466151365315,7.2623197970678754,7.0868466151365315,7.166092872619629,22280777.0
