Date,Close,High,Low,Open,Volume
2016-12-12,21965.033203125,22237.729210163747,21917.934485795195,22237.729210163747,0
2016-12-13,21864.5859375,21968.833963293935,21759.03715508926,21960.484512037394,0
2016-12-14,21666.240234375,21916.784319534847,21650.789354995362,21915.235520729635,0
2016-12-15,21630.140625,21828.986463809426,21493.742820784995,21512.842067995192,0
2016-12-16,21592.990234375,21704.238121234783,21527.040315210776,21674.187910784913,0
2016-12-19,21449.994140625,21630.189946574712,21422.895044490597,21630.189946574712,0
2016-12-20,21272.796875,21491.99390108477,21218.797896311477,21452.344260374564,0
2016-12-21,21260.546875,21359.545001516795,21224.098346017665,21349.345975777553,0
2016-12-22,20892.052734375,21238.997322018677,20857.553389095316,21236.196593920224,0
2016-12-23,20797.955078125,21031.851031810762,20725.657621462044,20910.154121616288,0
2016-12-27,20811.35546875,20836.405775108844,20321.96435575652,20449.061555686487,0
2016-12-28,20901.853515625,21088.84996851509,20861.953881850648,20897.55281595438,0
2016-12-29,21151.349609375,21199.249093272785,20891.905301851486,20905.60426128305,0
2016-12-30,21389.29296875,21433.04213781557,21223.04612630083,21229.09679262963,0
2017-01-03,21753.037109375,21804.48730653054,21587.991408026297,21639.93964262156,0
2017-01-04,21724.4375,21865.684820559163,21680.93832517293,21820.785281671793,0
2017-01-05,22074.181640625,22087.33178225557,21822.5360148429,21829.137452346436,0
2017-01-06,22024.03125,22227.17778534063,21976.88370725897,22141.529020145004,0
2017-01-09,22035.08203125,22124.580333616494,22009.482907447677,22098.28005123898,0
2017-01-10,22260.078125,22276.12860205992,22080.132316599123,22108.331000925125,0
2017-01-11,22542.822265625,22559.821943067942,22318.57652053206,22345.976391263568,0
2017-01-12,22622.26953125,22646.06986043643,22500.82261926325,22583.770262505303,0
2017-01-13,22647.220703125,22704.719612193676,22499.022343029144,22695.719782948145,0
2017-01-16,22789.46875,22801.767345185242,22616.770849084525,22678.87123538117,0
2017-01-17,22778.91796875,22910.915467512543,22724.268613682605,22856.21728524538,0
2017-01-18,22918.666015625,22977.51451165684,22810.96883437686,22827.267354153362,0
2017-01-19,22983.513671875,23003.913675911677,22896.765315791414,22926.264756765082,0
2017-01-20,22645.62109375,23000.213974931146,22604.121881173443,22940.215113374677,0
2017-01-23,22842.8671875,22856.36693125351,22625.871306425048,22639.621045433254,0
2017-01-24,23086.912109375,23111.36281790588,22881.16600829049,22927.315524376132,0
2017-01-25,23395.15625,23434.206291216393,23121.41143771183,23154.86197566888,0
2017-01-27,23519.85546875,23657.452472936122,23414.45707368245,23428.75563108613,0
2017-01-30,23650.900390625,23685.649730605513,23438.205211749202,23504.703948690334,0
2017-01-31,23278.859375,23709.15004409162,23239.610119231773,23703.650148378878,0
2017-02-01,23756.44921875,23782.647939945586,23258.458676364,23350.056546153162,0
2017-02-02,23916.146484375,23978.14530972014,23727.90005096819,23794.64878631961,0
2017-02-03,23942.697265625,24054.794753510778,23858.04847701175,23984.645690484496,0
2017-02-06,24205.291015625,24229.989766033574,24073.043523321874,24088.943612446987,0
2017-02-07,24129.892578125,24311.7387432501,24009.045257653765,24266.940763619412,0
2017-02-08,24248.740234375,24320.690044371477,24041.99414770091,24224.541473663354,0
2017-02-09,24257.341796875,24336.98872733862,24042.29508462323,24253.54108753998,0
2017-02-10,24201.390625,24325.487880844896,24140.49138934159,24324.08946986605,0
2017-02-13,24203.841796875,24297.638846299724,24004.59557523809,24279.6391876324,0
2017-02-14,23974.39453125,24260.789485571753,23909.995363039718,24260.488710031026,0
2017-02-15,23673.150390625,24008.49363656838,23591.70271741589,23956.04541306933,0
2017-02-16,24083.642578125,24125.792168884276,23580.15213277882,23706.950507797304,0
2017-02-17,24250.341796875,24316.690150479757,24118.492729872265,24229.541409312355,0
2017-02-20,24404.88671875,24423.036765120734,24218.091433595197,24286.34013911322,0
2017-02-21,24613.583984375,24641.032682560155,24423.58758765863,24452.23548185102,0
2017-02-22,24462.4375,24671.232377202643,24402.98745306888,24667.88283120945,0
2017-02-23,24376.38671875,24532.133761222016,24334.83867959336,24494.5856461096,0
2017-02-27,24349.08984375,24450.236366507987,24328.34023654793,24375.288566548246,0
2017-02-28,24423.88671875,24471.385818529317,24349.038527925873,24401.387145170323,0
2017-03-01,24456.1875,24563.484297281822,24400.987372916687,24509.135716580997,0
2017-03-02,24102.2421875,24617.482417417843,24056.243059744113,24588.48296731087,0
2017-03-03,24090.7421875,24129.593012951667,23909.39601848668,24052.043702908235,0
2017-03-06,24227.890625,24252.04055811749,24143.042623024827,24182.092664492764,0
2017-03-07,24203.341796875,24290.888964783717,24173.99079097802,24275.28965122907,0
2017-03-08,24123.642578125,24239.98998325577,23953.44658380049,24239.89037576787,0
2017-03-09,24089.392578125,24184.89076630446,24043.694226377967,24125.891885649085,0
2017-03-10,24041.89453125,24212.990902019345,23975.796173020866,24147.742137083642,0
2017-03-14,24425.4375,24462.786401569607,24247.34126575706,24394.73690993711,0
2017-03-15,24581.482421875,24622.432816111133,24444.735018677722,24472.836047545443,0
2017-03-16,24924.427734375,24938.177473630793,24694.23092785436,24702.33233672269,0
2017-03-17,24914.328125,25021.974520312015,24820.579903522084,24995.22502778365,0
2017-03-20,24918.177734375,24976.776232234282,24847.3782960722,24976.776232234282,0
2017-03-21,24780.53125,24919.028630175337,24622.383850900587,24919.028630175337,0
2017-03-22,24549.685546875,24598.633838798156,24443.037175617163,24592.98355516023,0
2017-03-23,24795.37890625,24820.37843167146,24695.630799818377,24702.081849229868,0
2017-03-24,24805.029296875,24930.776910673634,24786.08043770076,24830.478032706826,0
2017-03-27,24701.431640625,24867.528098048504,24678.432077079273,24818.628635370656,0
2017-03-28,24891.828125,24925.17710113095,24751.780003041225,24764.680148712963,0
2017-03-29,24910.7265625,24949.776602814338,24809.72847883814,24940.02678780738,0
2017-03-30,25012.525390625,25062.57522218604,24920.327921309836,24935.776846918507,0
2017-03-31,25118.97265625,25161.221854689207,25025.624817890075,25065.774446787764,0
2017-04-03,25216.671875,25247.92128200622,25106.222799024446,25146.42320805001,0
2017-04-05,25477.6171875,25494.466477831575,25237.522124355117,25309.620368540825,0
2017-04-06,25560.916015625,25580.31603862287,25394.069567961735,25444.467050438034,0
2017-04-07,25552.46484375,25740.26206509767,25480.266993589445,25513.01637278904,0
2017-04-10,25732.412109375,25760.610793045413,25559.36461175998,25617.56467926895,0
2017-04-11,25872.310546875,25908.309864751805,25693.163550767684,25701.263006672365,0
2017-04-12,25915.158203125,26008.20526407575,25631.462419274936,25900.95730095727,0
2017-04-13,25871.958984375,25931.957847487563,25823.110300608456,25924.159167135724,0
2017-04-17,25812.759765625,25968.807583224272,25759.459996640995,25909.857530925103,0
2017-04-18,25538.56640625,26016.656947962292,25506.465452589946,25861.259504669397,0
2017-04-19,25693.86328125,25736.862467370305,25494.41783756207,25527.16721768858,0
2017-04-20,25786.26171875,25872.910468619146,25713.913479340496,25809.460498214572,0
2017-04-21,25845.16015625,25941.45715780089,25729.261963997054,25913.309254214008,0
2017-04-24,26061.85546875,26082.90585087842,25844.810755858092,25886.95839422618,0
2017-04-25,26460.8984375,26477.49773199273,26166.45285114518,26182.653715695975,0
2017-04-26,26406.94921875,26565.147395235887,26170.404869452665,26557.047939219305,0
2017-04-27,26280.6015625,26469.549153606233,26241.053483855445,26445.14922538724,0
2017-04-28,26323.1015625,26411.500280574932,26247.554163771372,26299.102016583984,0
2017-05-02,26457.048828125,26522.397197686045,26241.951346535676,26395.149611875313,0
2017-05-03,26440.947265625,26639.494277672173,26385.999090007386,26570.845190276726,0
2017-05-04,26513.947265625,26543.446707151503,26418.59946134254,26501.447502266314,0
2017-05-05,26141.75390625,26514.647220454524,26012.906742015948,26508.297731574185,0
2017-05-08,26254.802734375,26296.950372345116,26170.603159744336,26226.451709686666,0
2017-05-09,26464.59765625,26483.648076171332,26223.153016972272,26309.901371619177,0
2017-05-10,26806.19140625,26833.091287287658,26568.846293105493,26577.64690763796,0
2017-05-11,26849.140625,26946.837988839317,26784.042251601728,26894.790148909808,0
2017-05-12,26724.693359375,26863.542293667666,26545.5971400296,26852.292506609687,0
2017-05-15,26948.587890625,26978.487713491126,26780.141870446565,26831.340117008232,0
2017-05-16,26940.439453125,27031.13890878951,26881.54213007715,27029.388941902296,0
2017-05-17,26799.04296875,26982.838314154593,26751.692303493222,26929.39010818953,0
2017-05-18,26250.552734375,26670.69320062775,26192.852657232877,26609.045932749945,0
2017-05-19,26098.806640625,26477.299474447325,25846.360248432833,26399.000175673707,0
2017-05-22,25880.009765625,26368.699727322157,25852.510286536315,26282.10175833685,0
2017-05-23,25534.365234375,25919.00832849989,25250.370621620357,25919.00832849989,0
2017-05-24,25148.97265625,25607.91513135729,25030.275686757865,25580.01526942299,0
2017-05-25,25407.216796875,25489.066805240407,25125.122543790676,25255.07124825265,0
2017-05-26,25982.80859375,26010.90767084942,25418.368113965797,25459.867327853925,0
2017-05-29,25727.3125,26085.05571035565,25601.51410629036,26035.255874261748,0
2017-05-30,25917.95703125,25938.007431738642,25481.365712836716,25641.362674460488,0
2017-05-31,26027.255859375,26139.904111315926,25981.1571252078,26026.755868867574,0
2017-06-01,26095.255859375,26140.155399780826,25968.908642515064,26056.856195887296,0
2017-06-02,26254.40234375,26275.95076310078,26141.00410429333,26203.30370371788,0
2017-06-05,26456.697265625,26545.49636212261,26318.600276313067,26354.650373597913,0
2017-06-06,26263.951171875,26504.548171901395,26178.202797933067,26479.44708539671,0
2017-06-07,26422.099609375,26461.649642197863,26316.35161050285,26355.450479988325,0
2017-06-08,26506.748046875,26585.896938672853,26418.849320771056,26505.8476733002,0
2017-06-09,26605.896484375,26624.046531244545,26391.05094409839,26538.04816002322,0
2017-06-12,26557.095703125,26669.69317602503,26458.197189044782,26608.84472121591,0
2017-06-13,26584.1953125,26704.144210730876,26542.64727192253,26623.3957413267,0
2017-06-14,26506.8984375,26650.094944581022,26389.301055031094,26635.444831380788,0
2017-06-15,26474.447265625,26578.845676865567,26417.649514380224,26496.69684377501,0
2017-06-16,26549.49609375,26669.394208723166,26486.0480792357,26535.34597169262,0
2017-06-19,26647.744140625,26701.393512813404,26565.34531419315,26644.044992096668,0
2017-06-20,26683.494140625,26765.99257663915,26624.44447882453,26713.294356929542,0
2017-06-21,26686.59375,26717.143952153758,26601.19497815669,26684.99417094592,0
2017-06-22,26496.59765625,26819.042719706504,26426.69858979708,26720.99379590116,0
2017-06-23,26157.404296875,26555.595963637235,26031.05708376463,26543.547364022485,0
2017-06-27,25967.70703125,26229.102467430384,25774.210698746556,26208.00325796621,0
